id_bano,numero_voie,nom_voie,code_postal,nom_commume,code_source_bano,latitude,longitude,code_departement,libelle_source
480080040C-10,10,Chantelouve,48170,Arzenc-de-Randon,CAD,44.64875,3.626954,48,Cadastre
480080041D-1,1,Route de Chantelouve,48170,Arzenc-de-Randon,C+O,44.659561,3.631398,48,Cadastre GSM
480080041D-10,10,Route de Chantelouve,48170,Arzenc-de-Randon,C+O,44.659316,3.628947,48,Cadastre GSM
480080050N-12,12,Route de Charpal,48170,Arzenc-de-Randon,C+O,44.628885,3.653175,48,Cadastre GSM
480080065E-1,1,Cougoussac-le Moulin,48170,Arzenc-de-Randon,CAD,44.646008,3.668973,48,Cadastre
480080070K-1,1,Rue de la Coustille,48170,Arzenc-de-Randon,C+O,44.661561,3.631587,48,Cadastre GSM
480080070K-11,11,Rue de la Coustille,48170,Arzenc-de-Randon,C+O,44.660758,3.631306,48,Cadastre GSM
480080070K-12,12,Rue de la Coustille,48170,Arzenc-de-Randon,C+O,44.660221,3.630311,48,Cadastre GSM
480080070K-15,15,Rue de la Coustille,48170,Arzenc-de-Randon,C+O,44.661249,3.631306,48,Cadastre GSM
480080070K-16,16,Rue de la Coustille,48170,Arzenc-de-Randon,C+O,44.660118,3.629554,48,Cadastre GSM
480080070K-17,17,Rue de la Coustille,48170,Arzenc-de-Randon,C+O,44.6606,3.631115,48,Cadastre GSM
480080070K-18,18,Rue de la Coustille,48170,Arzenc-de-Randon,C+O,44.660167,3.62966,48,Cadastre GSM
480080070K-19,19,Rue de la Coustille,48170,Arzenc-de-Randon,C+O,44.660553,3.631364,48,Cadastre GSM
480080070K-2,2,Rue de la Coustille,48170,Arzenc-de-Randon,C+O,44.661451,3.631321,48,Cadastre GSM
480080070K-21,21,Rue de la Coustille,48170,Arzenc-de-Randon,C+O,44.660532,3.631191,48,Cadastre GSM
480080070K-23,23,Rue de la Coustille,48170,Arzenc-de-Randon,C+O,44.660485,3.631057,48,Cadastre GSM
480080070K-3,3,Rue de la Coustille,48170,Arzenc-de-Randon,C+O,44.661484,3.631509,48,Cadastre GSM
480080070K-6,6,Rue de la Coustille,48170,Arzenc-de-Randon,C+O,44.661184,3.631201,48,Cadastre GSM
480080070K-7,7,Rue de la Coustille,48170,Arzenc-de-Randon,C+O,44.661249,3.631306,48,Cadastre GSM
480080070K-9,9,Rue de la Coustille,48170,Arzenc-de-Randon,C+O,44.66094,3.631345,48,Cadastre GSM
480080090G-1,1,Rue de l'Église,48170,Arzenc-de-Randon,C+O,44.662035,3.632699,48,Cadastre GSM
480080090G-11,11,Rue de l'Église,48170,Arzenc-de-Randon,C+O,44.661719,3.632134,48,Cadastre GSM
480080090G-14,14,Rue de l'Église,48170,Arzenc-de-Randon,C+O,44.662068,3.631715,48,Cadastre GSM
480080090G-15,15,Rue de l'Église,48170,Arzenc-de-Randon,C+O,44.661634,3.632086,48,Cadastre GSM
480080090G-16,16,Rue de l'Église,48170,Arzenc-de-Randon,C+O,44.661956,3.63172,48,Cadastre GSM
480080090G-17,17,Rue de l'Église,48170,Arzenc-de-Randon,C+O,44.661641,3.632022,48,Cadastre GSM
480080090G-18,18,Rue de l'Église,48170,Arzenc-de-Randon,C+O,44.661909,3.631638,48,Cadastre GSM
480080090G-2,2,Rue de l'Église,48170,Arzenc-de-Randon,C+O,44.662191,3.632675,48,Cadastre GSM
480080090G-21,21,Rue de l'Église,48170,Arzenc-de-Randon,C+O,44.661794,3.631933,48,Cadastre GSM
480080090G-23,23,Rue de l'Église,48170,Arzenc-de-Randon,C+O,44.661862,3.631858,48,Cadastre GSM
